274 33403
96 256 96
92 177 45
171 211 18
94 234 18
126 158 61
47 60 33
158 98 65
62 72 41
235 115 92
88 240 10
72 133 2
205 59 32
23 216 58
203 213 87
221 220 11
66 231 79
76 223 79
264 4 9
106 5 5
119 109 33
82 137 21
153 97 90
127 119 41
252 24 2
158 43 56
17 84 83
3 156 49
135 176 36
122 106 52
49 49 78
146 160 24
29 220 60
158 131 3
161 253 67
6 23 25
260 182 65
143 202 97
242 100 60
13 136 1
12 142 90
168 262 68
133 260 80
168 154 71
113 158 32
220 26 71
42 28 51
207 193 76
250 117 63
2 127 1
246 160 90
115 220 38
128 270 74
27 9 33
259 105 92
111 10 20
215 171 80
162 54 97
171 158 31
67 174 3
263 223 13
173 90 73
236 231 15
178 152 56
138 96 12
126 261 98
140 207 65
41 255 26
134 142 70
164 123 6
54 61 47
81 172 90
109 32 55
64 14 76
213 204 88
170 106 48
161 163 72
4 49 52
39 94 67
191 48 52
47 75 57
255 79 73
129 108 12
261 3 49
264 137 24
189 14 19
33 56 37
17 5 49
99 220 70
22 270 76
156 226 64
103 268 65
41 128 45
104 72 13
252 244 53
211 73 71
191 2 2
132 54 7
74 28 40
142 68 5
9 139 32
251 266 78
99 267 97
3 38 64
253 114 61
76 146 66
223 69 74
53 139 26
171 33 51
14 42 97
126 203 80
155 126 63
114 145 90
105 6 5
190 266 29
272 137 43
123 68 92
7 109 91
14 7 21
38 216 55
70 19 45
70 59 35
206 214 96
54 25 96
22 177 57
102 126 72
170 217 83
124 212 5
233 169 91
117 54 19
245 118 98
61 221 87
56 27 36
266 250 80
64 75 37
137 13 12
170 148 63
105 150 76
188 92 86
67 84 32
59 266 18
253 233 50
81 114 30
87 177 22
208 90 21
210 25 99
57 87 6
100 102 26
113 23 2
151 123 40
35 99 4
34 268 50
232 236 77
273 86 78
182 183 10
200 70 91
141 96 53
100 198 36
21 200 23
226 271 78
116 168 71
151 234 49
227 22 24
157 11 63
36 100 9
145 5 91
42 72 21
119 4 37
53 115 50
19 221 44
28 160 48
182 4 30
51 44 73
91 124 94
187 217 77
19 177 28
17 271 11
107 78 84
17 28 43
66 43 8
234 19 25
164 196 67
111 104 31
192 74 35
222 216 5
242 237 75
230 110 67
93 176 15
258 216 56
62 6 59
226 151 80
57 63 3
239 166 1
55 12 11
262 243 75
68 109 29
248 207 36
78 214 36
130 265 88
78 91 67
253 46 10
270 96 32
1 63 88
145 190 21
193 22 59
244 23 94
22 213 74
258 3 65
88 174 51
69 201 88
46 253 53
165 63 73
202 14 18
157 125 52
150 154 4
196 267 61
47 127 66
157 211 84
121 157 97
220 59 71
2 211 39
75 62 47
18 111 18
33 25 3
151 274 69
224 39 43
58 153 13
248 98 18
150 142 77
104 225 83
271 246 6
84 91 46
274 82 62
8 97 32
216 227 43
86 231 40
20 89 72
235 110 63
53 95 95
119 203 74
18 155 30
7 80 95
133 65 18
56 107 100
260 20 16
160 16 87
127 75 52
116 174 68
87 243 95
6 185 63
188 131 9
243 274 63
75 71 53
92 102 14
5 90 89
176 157 30
155 109 37
32 24 79
208 197 44
6 238 97
221 73 43
78 80 12
200 76 31
149 108 43
211 23 90
269 254 34
183 109 55
71 219 95
203 76 93
171 52 83
45 214 9
119 16 10
158 232 4
188 43 89
216 214 32
167 28 45
28 203 72
226 233 8
86 210 28
129 16 48
205 116 93
22 99 30
165 183 15
145 14 99
235 225 35
201 170 52
202 66 41
75 34 85
40 154 22
252 149 13
219 122 78
118 22 70
159 63 62
29 191 82
46 157 75
226 85 74
82 55 15
257 198 17
195 236 77
113 39 30
186 76 14
63 107 22
265 66 73
118 65 53
71 208 96
76 130 77
194 57 25
152 231 64
103 72 21
100 190 26
79 263 74
129 128 46
137 182 96
70 148 30
20 171 8
22 182 92
57 63 69
72 70 67
195 41 10
74 228 55
242 130 15
196 29 37
48 88 5
261 109 14
249 53 11
187 182 30
54 218 78
100 38 45
163 252 85
127 36 92
60 4 34
114 131 90
60 192 10
7 72 90
228 217 2
130 49 32
179 49 58
261 139 64
242 9 71
260 145 50
76 14 48
49 219 38
109 132 56
63 33 61
101 150 35
48 242 70
224 76 78
14 157 89
249 59 90
59 39 10
25 258 88
81 116 80
244 20 34
81 202 69
99 8 47
63 128 72
97 265 14
86 209 37
103 214 100
269 156 82
116 134 15
118 242 96
198 206 24
182 20 58
219 17 74
67 113 77
163 42 99
172 229 34
125 201 12
37 129 18
172 76 17
254 200 98
61 21 52
31 138 44
141 233 65
209 252 46
13 175 42
149 270 20
109 130 31
262 94 6
81 196 78
42 9 4
12 221 59
111 70 56
224 140 99
92 27 23
239 31 6
18 102 24
6 88 78
59 250 29
189 249 29
15 194 96
235 94 54
101 119 29
53 15 89
102 108 55
113 244 77
57 107 80
45 46 94
144 266 27
185 127 7
147 250 63
19 228 83
269 9 40
166 251 14
142 185 28
203 19 12
123 221 36
59 176 14
148 46 42
218 144 41
244 268 100
55 173 35
205 12 58
157 227 99
170 199 96
69 32 27
162 58 73
125 59 57
11 170 22
47 223 28
177 205 10
39 58 5
156 141 83
200 87 82
142 107 86
179 51 7
253 216 100
54 140 12
139 186 79
16 204 42
108 59 35
133 108 30
48 32 91
267 26 28
110 188 81
199 144 66
57 96 50
169 170 7
128 209 91
235 193 15
66 137 61
232 15 62
258 37 94
69 244 38
208 172 56
257 93 4
267 78 99
251 220 70
29 9 89
84 21 48
148 155 87
154 57 99
165 70 30
110 169 65
81 162 64
273 112 78
216 26 89
147 27 68
31 273 21
58 221 15
69 134 62
11 188 51
233 116 71
101 202 95
37 29 17
205 201 26
72 41 24
124 15 87
85 16 81
194 126 77
102 163 87
248 252 72
115 166 65
170 203 16
51 22 12
46 103 54
221 103 89
225 56 99
182 52 54
27 241 75
227 16 68
233 194 35
259 108 42
92 226 16
33 212 15
153 259 31
108 47 74
265 122 18
165 222 20
260 66 31
246 174 78
20 73 41
113 214 65
196 77 56
81 22 62
43 187 50
220 175 87
179 30 48
170 93 45
154 173 74
114 195 71
64 185 74
251 264 57
172 214 82
195 6 2
223 48 37
18 203 55
61 100 56
8 221 3
256 258 94
243 206 100
159 7 91
50 85 1
152 60 46
221 262 79
39 223 47
157 257 71
39 247 85
107 33 38
18 51 83
67 209 60
164 144 99
228 146 4
84 158 27
237 175 99
35 192 83
89 86 25
121 228 44
175 170 7
98 22 14
93 221 88
107 270 34
9 87 46
68 164 42
175 97 16
6 215 69
185 6 79
160 175 28
15 20 21
120 37 75
117 270 44
176 105 63
175 38 97
86 146 33
18 96 46
142 273 53
73 245 31
102 22 11
265 43 48
253 185 97
229 96 66
22 171 13
30 189 49
122 214 82
123 159 66
1 107 56
263 139 21
263 115 47
29 29 31
195 39 25
273 78 10
271 103 12
178 252 70
215 112 32
33 234 47
228 238 81
125 79 36
69 49 92
36 10 2
246 188 73
158 184 13
204 34 21
86 249 45
40 229 64
130 141 89
100 16 78
77 247 81
131 94 32
125 88 29
263 33 8
233 210 75
142 96 1
230 114 56
249 88 83
181 193 55
28 28 31
189 238 36
48 43 29
261 97 67
33 158 89
59 234 68
171 104 36
143 166 27
83 225 75
49 87 75
264 169 39
264 8 90
250 1 83
22 93 6
213 9 75
215 223 37
50 263 88
13 48 4
11 217 50
181 142 46
23 134 83
101 249 45
206 183 5
252 51 19
60 54 35
137 104 42
49 175 56
167 228 23
42 133 79
81 22 92
223 7 2
232 165 6
110 79 2
74 153 23
103 31 65
263 75 17
267 6 3
220 110 44
263 133 90
96 78 84
79 93 73
38 126 21
180 243 84
247 181 38
15 118 32
226 82 37
228 161 11
14 181 9
186 108 37
78 174 36
151 103 39
43 79 99
142 8 63
14 109 16
230 162 59
154 220 96
205 175 54
29 124 76
11 246 20
209 46 46
144 96 13
196 159 40
46 17 74
89 266 61
222 220 27
80 67 70
138 24 61
169 195 95
189 22 78
220 226 24
122 57 62
186 49 63
55 196 87
39 229 2
203 189 71
49 205 65
126 10 64
155 116 57
208 132 20
166 219 42
245 226 20
188 210 56
228 73 76
101 62 36
209 118 35
19 127 6
195 126 84
234 124 80
31 58 90
155 149 41
78 48 83
239 195 70
148 130 34
267 98 26
32 270 6
227 249 73
66 173 78
13 148 89
161 23 64
2 127 72
88 42 26
256 178 23
90 181 29
229 130 81
242 179 1
43 214 77
227 130 55
88 111 21
153 169 12
215 48 19
235 36 89
64 167 83
43 202 81
228 35 13
48 190 68
36 77 96
156 205 57
149 234 44
105 136 51
204 107 98
225 200 13
44 84 48
269 196 6
117 97 72
48 24 2
255 202 94
140 78 66
267 66 22
121 169 67
221 34 1
50 141 39
261 173 62
34 209 16
258 59 41
223 97 98
221 23 78
236 196 44
266 74 10
74 192 76
261 239 71
10 8 94
255 184 22
210 93 7
218 216 14
8 42 68
192 131 57
118 122 36
216 206 68
141 252 76
266 201 5
176 138 5
132 5 40
215 254 41
209 178 14
48 154 4
50 251 36
1 86 32
124 7 70
39 186 27
237 261 16
113 192 14
69 77 57
56 259 98
248 21 23
164 24 6
82 37 67
121 105 10
238 22 58
21 45 82
96 88 2
154 219 88
265 41 55
54 231 55
180 18 90
231 138 93
12 163 5
252 256 73
234 13 10
98 189 15
263 179 84
6 51 64
124 34 21
268 126 17
269 180 88
212 108 24
226 25 90
274 258 3
161 45 26
238 96 98
103 109 4
45 66 57
86 44 95
206 29 48
114 42 81
135 102 68
179 53 60
25 56 45
139 7 44
20 67 5
106 233 53
86 208 25
230 99 56
145 270 92
210 99 24
111 193 32
222 151 31
218 3 64
171 54 25
17 20 25
7 25 100
239 166 26
212 258 20
98 237 49
78 236 45
117 153 60
124 212 91
216 66 28
217 108 96
264 17 15
211 159 17
118 29 31
204 183 99
119 234 55
105 251 54
42 263 35
154 143 66
170 96 94
70 249 89
102 131 78
121 99 64
87 166 86
4 258 54
216 145 87
265 136 45
202 75 75
58 157 80
62 263 84
57 40 74
75 115 4
180 140 70
152 5 30
211 195 86
172 96 37
60 91 96
171 154 83
141 65 48
50 211 37
274 269 53
128 232 51
140 208 93
138 39 66
150 223 95
220 202 19
41 189 44
269 158 90
232 273 55
242 235 84
31 54 74
87 61 67
12 138 69
128 261 31
210 230 44
199 88 25
83 172 50
264 168 58
23 229 11
19 236 3
22 105 29
194 171 90
125 199 2
14 80 64
205 113 63
246 87 33
220 117 32
163 126 31
105 233 79
258 105 10
118 50 86
204 174 21
167 223 77
134 186 75
212 10 72
215 151 97
66 225 26
90 256 39
169 36 46
39 237 25
214 202 52
249 243 44
186 116 40
61 144 96
123 102 6
226 213 30
93 57 83
158 11 91
76 29 57
39 164 69
80 204 100
106 254 92
227 203 92
138 166 96
47 107 84
231 270 56
59 79 90
14 56 87
7 115 74
85 130 40
12 186 47
25 83 98
15 233 4
267 191 43
260 261 93
157 24 47
114 29 33
83 25 66
124 87 19
217 174 93
38 33 33
3 98 61
139 220 93
48 229 5
73 27 97
258 163 4
273 124 50
203 50 86
274 70 69
83 2 20
123 147 19
229 222 56
241 6 64
125 231 7
54 197 1
31 141 29
87 128 71
196 112 97
121 185 65
116 165 18
152 22 81
175 138 82
180 88 22
130 218 4
6 231 33
70 134 9
214 59 59
72 251 91
222 74 8
142 193 13
15 151 94
222 134 42
136 113 21
59 187 25
20 162 24
140 47 97
128 38 87
274 148 32
247 233 94
257 239 3
211 160 42
16 174 12
173 274 76
66 7 31
96 245 85
218 210 64
53 91 32
76 60 12
135 41 7
235 138 99
194 117 61
115 142 28
125 73 27
210 124 82
51 119 37
261 59 10
47 111 89
89 146 16
263 97 28
150 30 6
150 136 70
223 260 26
5 196 50
119 60 2
120 111 11
140 176 14
270 68 52
211 173 91
237 196 17
182 12 100
66 42 45
217 234 4
17 69 95
145 93 65
31 86 91
203 33 77
105 178 53
66 67 90
44 148 40
210 193 91
64 122 52
110 44 73
98 103 50
198 182 24
3 125 91
119 224 91
16 111 3
164 110 53
244 162 8
12 197 30
60 19 80
16 18 98
220 210 58
82 158 8
1 32 1
266 233 82
40 147 22
272 233 92
19 66 8
223 17 98
59 116 31
254 169 79
164 94 89
243 170 79
244 100 43
44 141 14
183 233 98
58 69 24
116 104 27
274 114 66
245 226 58
1 9 69
86 110 55
3 134 32
237 121 28
64 164 21
75 102 18
86 22 2
54 151 78
202 136 34
162 89 15
221 151 19
213 49 59
127 139 14
91 87 80
228 247 15
46 4 97
38 80 12
96 128 62
194 187 82
170 160 21
163 220 72
187 193 14
95 140 89
68 135 21
79 200 67
65 231 19
143 203 21
213 247 15
194 131 3
148 176 68
108 110 51
238 170 99
118 41 38
68 194 15
193 261 84
210 143 91
24 60 9
29 207 58
58 248 94
171 148 64
256 144 35
179 43 53
210 247 42
204 124 100
182 7 6
183 223 21
225 230 80
149 5 75
142 33 82
271 87 60
65 254 45
165 173 83
17 181 72
3 117 81
272 1 99
150 178 12
180 74 100
242 177 42
34 111 50
162 248 95
154 92 55
208 169 75
241 29 90
133 133 48
92 134 18
269 138 52
168 66 72
186 66 22
187 127 51
199 115 98
135 206 25
64 48 6
215 50 70
67 127 51
218 11 32
34 109 5
53 247 3
262 207 92
214 28 23
230 122 79
140 171 70
265 5 95
75 258 40
27 129 78
168 257 30
195 31 57
243 40 93
203 46 83
141 48 2
105 53 16
4 181 31
39 172 85
202 231 94
250 36 48
17 61 42
164 200 76
68 213 81
168 41 7
114 109 68
90 40 38
116 52 51
157 53 27
171 16 3
114 52 28
197 239 73
88 243 23
141 225 17
221 124 64
171 138 71
83 22 50
273 101 75
239 214 64
262 267 14
217 100 67
240 186 56
183 92 85
241 172 54
253 86 28
269 42 71
152 209 98
6 25 86
137 34 69
47 179 57
210 270 59
114 198 41
114 12 92
78 175 80
153 104 62
199 62 59
67 227 7
259 238 49
192 254 19
157 256 85
233 256 72
172 73 90
231 234 34
113 130 70
121 18 76
236 24 56
43 2 34
271 133 87
7 103 13
238 253 53
149 227 68
259 115 41
49 268 29
120 183 84
260 105 46
95 274 60
38 1 92
103 131 79
3 184 96
151 150 22
102 85 14
32 142 55
78 8 19
231 264 60
236 13 13
60 61 96
2 63 25
268 257 45
262 111 96
259 25 19
247 118 33
169 253 73
94 154 61
22 104 19
77 216 4
156 209 76
90 251 27
258 126 41
122 265 30
36 160 99
60 233 11
93 230 56
173 38 33
161 140 34
269 251 20
185 233 45
188 248 63
89 66 36
121 224 45
134 87 52
59 133 99
261 41 39
92 132 82
86 157 50
272 203 94
79 17 88
177 22 26
75 231 61
23 164 38
228 187 49
121 41 11
249 23 49
28 225 15
187 231 7
179 4 26
19 4 52
213 90 29
261 161 99
193 157 22
105 209 33
1 105 98
35 177 32
100 99 3
28 206 29
224 106 52
177 236 71
184 17 68
14 90 27
133 209 33
207 159 10
198 227 21
243 17 68
153 252 37
76 59 89
78 50 57
43 258 69
134 68 12
71 218 99
259 142 72
113 258 63
216 143 45
210 43 8
259 264 35
74 13 44
263 1 95
94 143 87
152 182 36
65 207 57
128 268 14
35 248 3
187 273 20
37 52 24
79 236 76
199 216 16
199 56 58
46 84 35
68 167 61
88 222 51
88 45 18
266 57 49
17 86 48
8 270 86
13 32 90
242 196 23
253 61 19
175 197 17
199 114 80
49 141 66
73 111 25
82 58 78
250 156 73
143 203 8
63 217 6
191 137 19
87 169 40
2 159 71
118 170 59
223 4 54
273 262 30
40 217 22
49 262 39
36 147 7
205 224 37
32 40 33
112 254 33
75 221 89
211 28 7
191 147 19
270 150 72
227 93 62
154 214 1
155 48 95
4 21 64
210 16 76
130 229 91
142 68 95
134 273 33
49 258 85
211 111 6
68 48 33
18 112 81
50 75 86
30 241 12
59 184 13
3 204 21
215 266 32
56 77 55
58 75 99
262 239 60
195 143 86
89 143 49
251 77 13
227 116 32
5 59 93
1 73 73
156 111 85
105 119 29
217 54 61
90 168 90
48 233 77
148 193 76
13 155 52
226 256 37
196 249 86
170 193 60
175 199 97
226 95 37
45 3 77
27 262 79
127 12 87
74 115 15
52 218 23
43 274 55
151 62 86
127 254 81
72 95 81
217 177 73
219 83 89
172 111 54
90 133 64
236 14 10
93 240 40
244 71 71
108 160 53
168 133 29
188 148 96
27 230 85
70 147 99
139 55 24
82 261 54
176 263 16
67 234 48
209 144 47
190 233 25
198 72 98
117 72 38
234 161 13
144 215 39
153 132 71
205 101 80
82 161 64
86 187 69
250 264 72
146 231 24
243 181 88
233 48 85
142 122 5
159 262 94
149 82 20
210 34 24
270 118 72
204 104 29
262 66 17
223 67 45
56 196 10
211 233 72
114 211 81
128 109 9
194 182 81
191 244 64
46 265 34
186 254 27
255 266 28
187 258 93
258 209 95
25 236 77
21 66 9
178 246 98
211 13 95
51 147 4
181 75 77
194 68 93
36 137 46
217 108 5
147 268 60
267 209 55
183 104 76
158 39 29
48 163 47
160 77 20
146 174 100
99 150 63
192 21 26
104 246 26
97 59 48
130 180 35
214 14 86
150 164 55
60 235 81
257 218 82
130 190 51
263 56 32
173 167 6
237 23 11
165 88 6
214 130 19
243 204 49
62 264 92
73 166 81
187 68 15
196 260 6
214 152 30
207 114 7
234 49 91
27 114 23
159 168 90
48 13 15
33 51 69
9 33 15
237 118 73
254 264 7
183 134 40
239 203 93
241 156 49
204 240 22
188 101 88
64 34 100
144 225 56
196 72 17
57 263 97
187 236 70
28 50 88
227 201 45
223 221 86
128 94 82
212 129 52
124 92 70
218 229 15
185 30 45
92 105 83
76 250 79
148 40 69
143 246 74
253 28 31
63 11 18
27 183 64
58 66 8
4 230 76
130 270 29
39 200 81
161 45 93
132 6 77
132 269 86
36 99 86
116 6 61
235 72 57
243 110 83
16 196 43
184 7 2
111 264 90
26 2 61
38 62 14
205 226 29
222 144 95
109 114 30
55 7 42
200 145 64
118 3 61
15 101 5
248 265 20
132 229 66
235 75 80
241 95 22
50 164 71
251 65 18
73 148 61
14 27 1
199 114 48
156 47 89
123 78 74
63 15 79
93 116 44
4 146 93
176 161 76
248 204 23
119 225 37
186 13 7
186 225 81
137 188 21
117 120 86
121 200 35
96 159 63
161 265 14
243 27 4
237 93 21
42 239 92
213 224 59
51 208 54
148 232 17
118 146 62
103 166 2
116 114 87
209 122 74
80 11 76
226 151 78
249 166 1
188 225 60
78 137 82
2 111 85
146 250 100
263 211 33
246 65 86
181 203 28
37 13 38
79 108 28
217 83 16
70 258 94
47 59 22
13 191 82
204 188 8
92 207 33
179 123 46
49 161 50
194 120 6
236 69 34
249 72 9
44 254 21
69 41 57
48 230 39
263 26 31
38 149 100
181 90 83
218 184 21
225 192 55
17 222 71
158 269 52
125 271 39
266 43 36
207 78 74
87 195 97
175 163 100
126 7 56
174 256 22
111 238 3
262 46 93
83 107 10
27 229 71
166 59 44
271 34 76
124 14 16
60 52 47
30 115 14
144 250 70
151 113 15
121 130 22
270 175 59
208 171 27
10 49 25
174 14 76
179 214 28
48 177 62
241 89 24
169 213 67
171 165 96
172 69 27
133 258 42
118 139 10
21 79 46
27 269 50
254 228 52
189 212 69
142 274 14
22 253 17
214 62 31
44 192 10
229 179 41
75 252 8
154 9 40
105 138 55
57 14 85
204 243 51
95 70 84
104 30 74
235 180 35
270 24 69
128 223 52
176 222 22
269 139 1
140 78 92
218 190 93
218 197 87
103 20 99
203 224 40
167 80 10
272 121 100
67 230 77
64 226 83
261 178 81
267 81 19
272 236 88
24 70 74
135 217 56
264 160 81
134 179 17
187 146 5
198 152 30
267 172 34
251 200 72
55 216 32
204 144 41
105 99 11
210 125 69
41 176 38
184 248 97
161 41 47
198 142 27
67 122 52
186 135 81
83 45 83
193 253 86
261 123 70
22 73 41
226 126 58
228 171 88
121 267 42
46 238 36
37 273 8
194 56 46
252 258 94
21 192 22
193 62 69
101 120 65
249 223 59
255 214 89
93 252 37
18 75 98
203 98 74
122 179 68
5 172 6
165 260 61
130 173 6
12 171 25
175 145 30
184 32 1
2 233 22
204 190 48
162 151 61
128 114 7
107 214 97
165 139 59
6 168 65
170 110 41
134 273 4
196 199 8
167 205 77
85 195 38
223 51 51
250 81 44
170 222 31
6 40 28
270 108 98
189 49 1
88 196 14
137 82 88
20 17 78
56 97 91
68 101 31
195 93 53
102 270 99
4 149 10
29 202 86
129 62 94
232 141 92
212 71 67
98 13 63
149 177 61
93 112 97
233 136 12
12 245 90
188 69 13
194 255 67
110 187 42
242 219 56
168 264 70
30 64 38
20 77 50
192 274 7
84 85 12
52 95 7
254 217 78
90 110 1
179 4 53
147 213 5
33 148 61
59 30 80
80 213 91
13 237 18
126 116 100
228 170 45
208 2 54
72 121 28
80 122 3
38 256 41
46 214 16
11 152 5
3 262 44
235 137 91
238 92 2
31 17 54
166 209 43
129 242 20
225 109 42
186 51 79
262 66 85
22 25 72
224 199 13
58 195 56
8 94 9
97 45 58
107 242 72
26 106 3
177 271 48
268 119 45
76 13 30
125 42 94
73 235 3
125 80 44
195 81 33
139 196 23
262 82 55
32 249 64
259 258 49
190 110 45
224 150 12
33 262 88
260 199 63
266 139 49
35 60 96
84 61 90
97 44 50
31 265 25
209 261 46
185 160 12
41 260 14
44 232 100
27 274 41
180 2 92
218 24 55
100 52 43
119 30 2
249 198 48
200 263 29
231 79 14
119 239 91
175 23 89
174 152 40
166 6 46
144 94 71
270 24 90
